No,Title,Type,BodyPart,Equipment,Level,Rating
40,Dumbbell spell caster,Strength,Biceps,Dumbbell,Beginner,9.3
705,Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,9.3
706,EZ-bar spider curl,Strength,Biceps,Barbell,Intermediate,9.2
707,Barbell Curl,Strength,Biceps,Barbell,Intermediate,9.0
708,Close-grip EZ-bar curl,Strength,Biceps,Barbell,Beginner,8.9
709,Preacher Curl,Strength,Biceps,Barbell,Intermediate,8.8
710,Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,8.8
711,Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,8.8
712,Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,8.6
713,Drag curl,Strength,Biceps,Barbell,Beginner,8.5
714,Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,8.2
715,Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,5.8
731,Incline Hammer Curls,Strength,Biceps,Dumbbell,Beginner,9.5
732,Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,9.1
733,Biceps curl to shoulder press,Strength,Biceps,Dumbbell,Beginner,9.1
734,Concentration curl,Strength,Biceps,Dumbbell,Intermediate,9.0
735,Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,9.0
736,Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,8.9
737,Cross-body hammer curl,Strength,Biceps,Dumbbell,Beginner,8.9
738,Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,8.7
739,Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,8.7
740,Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,8.7
741,Standing concentration curl,Strength,Biceps,Dumbbell,Beginner,8.7
742,Alternating incline dumbbell Biceps curl,Strength,Biceps,Dumbbell,Intermediate,8.6
743,Alternate Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,8.6
744,Seated dumbbell Biceps curl,Strength,Biceps,Dumbbell,Intermediate,8.6
745,Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,8.6
746,Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,8.3
747,Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,8.3
748,Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,8.1
749,Palms-out incline Biceps curl,Strength,Biceps,Dumbbell,Beginner,8.0
750,Straight-arm plank with Biceps curl,Strength,Biceps,Dumbbell,Beginner,7.7
751,Face-down incline dumbbell Biceps curl,Strength,Biceps,Dumbbell,Beginner,7.6
752,Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,7.4
753,Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner,7.4
810,Reverse Plate Curls,Strength,Biceps,Other,Beginner,7.2
816,Overhead cable curl,Strength,Biceps,Cable,Intermediate,9.0
817,Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,8.8
818,Reverse Cable Curl,Strength,Biceps,Cable,Beginner,8.7
819,Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate,8.5
820,Cable rope hammer curl,Strength,Biceps,Cable,Intermediate,8.2
821,Lying cable Biceps curl,Strength,Biceps,Cable,Beginner,8.2
822,Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner,7.5
823,Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,7.1
846,Machine Bicep Curl,Strength,Biceps,Machine,Beginner,9.0
847,Machine Preacher Curls,Strength,Biceps,Machine,Beginner,8.3
858,EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,9.1
859,Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,8.8
860,Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner,7.9
1179,Palms-down wrist curl over bench,Strength,Biceps,Barbell,Intermediate,9.5
1180,Palms-up wrist curl over bench,Strength,Biceps,Barbell,Intermediate,9.4
1181,Standing behind-the-back wrist curl,Strength,Biceps,Barbell,Beginner,9.3
1182,Seated finger curl,Strength,Biceps,Barbell,Beginner,9.3
1183,Seated palms-up wrist curl,Strength,Biceps,Barbell,Intermediate,8.7
1184,Bottoms-Up Clean From The Hang Position,Strength,Biceps,Kettlebells,Beginner,8.3
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Strength,Biceps,Dumbbell,Beginner,9.0
