Title,Type,BodyPart,Rating
Single-Leg Press,Strength,Thigh,9.6
"Incline Hammer Curls, Palms-down wrist curl over bench",Strength,Biceps,9.5
Landmine twist,Strength,Waist,9.5
"Palms-up wrist curl over bench, Biceps dip",Strength,Biceps,9.4
"Barbell Deadlift, Romanian Deadlift With Dumbbells, Barbell Full Squat",Strength,Thigh,9.4
"Dumbbell spell caster, Wide-grip barbell curl, Standing behind-the-back wrist curl, Seated finger curl, Decline EZ-bar skullcrusher",Strength,Biceps,9.3
"Dumbbell V-Sit Cross Jab, Suspended ab fall-out, Standing cable low-to-high twist, Elbow plank, Bottoms Up",Strength,Waist,9.3
"EZ-bar spider curl, Seated Two-Arm Palms-Up Low-Pulley Wrist Curl",Strength,Biceps,9.2
Jumping rope,Cardio,Thigh,9.2
"Barbell walking lunge, Front Squats With Two Kettlebells",Strength,Thigh,9.2
"Decline reverse crunch, Spider crawl",Strength,Waist,9.2
"Hammer Curls, Biceps curl to shoulder press, EZ-Bar Curl, Wrist Roller, Cable V-bar push-down, Weighted bench dip",Strength,Biceps,9.1
Stair climber,Cardio,Thigh,9.1
"Natural Glute Ham Raise, Glute ham raise-, Kettlebell Pistol Squat",Strength,Thigh,9.1
"Single-arm high-cable side bend, Cocoons, Cross-Body Crunch, Elbow-to-knee crunch",Strength,Waist,9.1
"Barbell Curl, Concentration curl, Flexor Incline Dumbbell Curls, Overhead cable curl, Machine Bicep Curl, Seated One, Arm Dumbbell Palms-Up Wrist Curl, Reverse Grip Biceps Pushdown, Kneeling cable Biceps extension, Push-Ups - Close Biceps Position, EZ-Bar Skullcrusher,",Strength,Biceps,9
"Thigh adductor, Single-leg depth squat, Narrow-stance squat, Weighted Jump Squat, Forward lunge",Strength,Thigh,9
"Plate Twist, Kneeling cable oblique crunch, Decline Crunch, Hanging toes-to-bar, Hanging Oblique Knee Raise, Gorilla Chin/Crunch, Dumbbell suitcase crunch,",Strength,Waist,9
"Close-grip EZ-bar curl, Dumbbell Bicep Curl, Cross-body hammer curl, Incline EZ-bar skullcrusher, Decline Close-Grip Bench To Skull Crusher, Seated Biceps press, Single-arm cable Biceps extension",Strength,Biceps,8.9
Bicycling,Cardio,Thigh,8.9
"Lying Leg Curls, Barbell Squat, Barbell front squat, Dumbbell Goblet Squat, Dumbbell squat",Strength,Thigh,8.9
"Barbell roll-out, Barbell roll-out, Barbell Ab Rollout - On Knees, Weighted Crunches, Ab Roller, Kneeling cable crunch, Hanging leg raise, Exercise Ball Pull-In",Strength,Waist,8.9
"Preacher Curl, Barbell Curls Lying Against An Incline, Seated Close-Grip Concentration Barbell Curl, Standing One-Arm Cable Curl, Reverse Barbell Preacher Curls, Tricep Dumbbell Kickback, Standing Dumbbell Biceps Extension, Double-arm Biceps kick-back, Dip Machine, Parallel Bar Dip, Ring dip
",Strength,Biceps,8.8
"Elliptical trainer, Stairmaster, Burpee",Cardio,Thigh,8.8
"Stiff-Legged Dumbbell Deadlift, Exercise ball leg curl, Barbell forward lunge, Smith machine box squat, Dumbbell Lunges, Hex-bar deadlift, Leg Press, Narrow-stance leg press, Narrow Stance Hack Squats, Machine Squat, Bodyweight squat",Strength,Thigh,8.8
"Standing Hip Circles, Groiners",Stretching,Thigh,8.8
"Otis-Up, Ab bicycle, 3/4 sit-up, Reverse crunch",Strength,Waist,8.8
"Dumbbell Alternate Bicep Curl, Single-arm dumbbell preacher curl, Alternate Incline Dumbbell Curl, Standing concentration curl, Reverse Cable Curl, Seated palms-up wrist curl, Behind-the-head skullcrusher, Feet-elevated bench dip",Strength,Biceps,8.7
Trail Running/Walking,Cardio,Thigh,8.7
"Power clean, Kettlebell pass-through lunge, Barbell step-up, Goblet Squat, Dumbbell reverse lunge, Smith machine back squat",Strength,Thigh,8.7
Crunches,Strength,Waist,8.7
